cell_id,dataset,condition,realization,order,benchmark,status,value,passes,operator,threshold,role,reason,planned,scored,numerator,wilson95,paired_population_sha256,equivalence,interpretation,measured,ceiling
058509628604e5ca4527273b,counterfact,S1_literal,1,102,revision_latest,unavailable,unavailable,unavailable,ge,0.95,secondary_descriptive,complete supported 50-case inventory required,50,0,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
058509628604e5ca4527273b,counterfact,S1_literal,1,102,old_alias_reappearance,unavailable,unavailable,unavailable,le,0.02,secondary_descriptive,complete supported 50-case inventory required,50,0,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
058509628604e5ca4527273b,counterfact,S1_literal,1,102,revision_semantic,unavailable,unavailable,unavailable,ge,0.95,secondary_descriptive,complete supported 50-case inventory required,50,0,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
058509628604e5ca4527273b,counterfact,S1_literal,1,102,unseen_1000,unavailable,unavailable,unavailable,le,0.15,secondary_descriptive,complete outside100 at actual occupancy1000 required,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
058509628604e5ca4527273b,counterfact,S1_literal,1,102,outside_change_1000_100,unavailable,unavailable,unavailable,abs_le,0.05,secondary_descriptive,same outside100 and both exact actual occupancies required,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable_single_cell_has_no_realization_cluster_interval,unavailable,unavailable,unavailable
058509628604e5ca4527273b,counterfact,S1_literal,1,102,retention_change,unavailable,unavailable,unavailable,ge,-0.05,secondary_descriptive,complete 100 and1000 histories required,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,descriptive horizon change; retention histories differ,unavailable,unavailable
058509628604e5ca4527273b,counterfact,S1_literal,1,102,es_change,unavailable,unavailable,unavailable,ge,-0.02,secondary_descriptive,complete 100 and1000 histories required,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,descriptive horizon change; retention histories differ,unavailable,unavailable
058509628604e5ca4527273b,counterfact,S1_literal,1,102,ls_change,unavailable,unavailable,unavailable,ge,-0.01,secondary_descriptive,complete 100 and1000 histories required,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,descriptive horizon change; retention histories differ,unavailable,unavailable
058509628604e5ca4527273b,counterfact,S1_literal,1,102,state_budget_ratio,unavailable,unavailable,unavailable,le,1,secondary_descriptive,complete measurement and September20 admitted ceiling required,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
058509628604e5ca4527273b,counterfact,S1_literal,1,102,peak_budget_ratio,unavailable,unavailable,unavailable,le,1,secondary_descriptive,complete measurement and September20 admitted ceiling required,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
